year,sector,management_area,model_area,retained_catch_t,evidence_class,source
1975,commercial,kalbarri,north,0.0,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1975,commercial,mid_west,north,23.084926518402913,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1975,commercial,metropolitan,south,12.927558850305632,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1975,commercial,south_west,south,24.93172063987514,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1975,recreational,unknown,unknown,113.71961974899206,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1975,charter,unknown,unknown,1.09375,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1976,commercial,kalbarri,north,0.0,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1976,commercial,mid_west,north,47.52452483139178,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1976,commercial,metropolitan,south,20.62385039852851,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1976,commercial,south_west,south,32.28080931943593,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1976,recreational,unknown,unknown,108.53625105670437,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1976,charter,unknown,unknown,1.640625,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1977,commercial,kalbarri,north,0.0,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1977,commercial,mid_west,north,45.383312989723194,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1977,commercial,metropolitan,south,20.46698428948301,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1977,commercial,south_west,south,31.145410875300225,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1977,recreational,unknown,unknown,128.08951911822084,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1977,charter,unknown,unknown,2.1875,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1978,commercial,kalbarri,north,0.8906733121048502,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1978,commercial,mid_west,north,79.26992477733168,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1978,commercial,metropolitan,south,23.157506114726107,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1978,commercial,south_west,south,62.34713184733951,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1978,recreational,unknown,unknown,110.2320177363766,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1978,charter,unknown,unknown,2.890625,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1979,commercial,kalbarri,north,0.8838652105553905,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1979,commercial,mid_west,north,106.06382526664683,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1979,commercial,metropolitan,south,33.586878001104836,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1979,commercial,south_west,south,38.00620405388178,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1979,recreational,unknown,unknown,113.3981479223566,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1979,charter,unknown,unknown,3.515625,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1980,commercial,kalbarri,north,0.0,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1980,commercial,mid_west,north,95.93690769264285,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1980,commercial,metropolitan,south,19.36341256181782,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1980,commercial,south_west,south,58.09023768545347,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1980,recreational,unknown,unknown,116.56446099947979,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1980,charter,unknown,unknown,3.984375,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1981,commercial,kalbarri,north,0.0,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1981,commercial,mid_west,north,73.15724284932455,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1981,commercial,metropolitan,south,17.628251288993862,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1981,commercial,south_west,south,40.54497796468589,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1981,recreational,unknown,unknown,129.60229304851083,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1981,charter,unknown,unknown,4.21875,digitised_reconstructed_total_area_split_not_published,RAR2 Figure 3.15
1982,commercial,kalbarri,north,0.0,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1982,commercial,mid_west,north,90.82764605173666,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1982,commercial,metropolitan,south,15.872792513895728,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
1982,commercial,south_west,south,54.6729519923075,digitised_from_published_figure_reconciled_to_sector_total,RAR2 Figure 3.15
