year,catch,catch_commercial,catch_charter,catch_recreational,catch_evidence_class,catch_source,index_north_dropline_monthly,index_north_dropline_daily,index_north_handline_monthly,index_north_handline_daily,index_south_dropline_monthly,index_south_handline_monthly,index_south_handline_daily,index,index_evidence_class,index_source,biomass,dataset_status
1975,175.75757575757575,60.94420600858369,1.09375,113.71961974899206,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1976,210.6060606060606,100.42918454935622,1.640625,108.53625105670436,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1977,227.27272727272725,96.99570815450645,2.1875,128.08951911822084,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1978,278.78787878787875,165.66523605150215,2.890625,110.2320177363766,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1979,295.45454545454544,178.54077253218884,3.515625,113.3981479223566,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1980,293.93939393939394,173.39055793991415,3.984375,116.5644609994798,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1981,265.1515151515151,131.3304721030043,4.21875,129.60229304851083,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1982,293.93939393939394,161.3733905579399,4.765625,127.80037838145404,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1983,312.1212121212121,177.6824034334764,4.921875,129.51693368773573,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1984,342.42424242424244,193.1330472103004,5.703125,143.58807021394202,vector_extracted_from_published_figure,RAR2 Figure 3.15,,,,,,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1985,413.6363636363636,278.96995708154503,7.265625,127.4007815548186,vector_extracted_from_published_figure,RAR2 Figure 3.15,1.0038461538461538,,,,0.9961538461538462,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1986,377.27272727272725,225.75107296137335,8.203125,143.31852931135387,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.8769230769230769,,,,0.9076923076923076,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1987,353.030303030303,203.43347639484975,9.296875,140.29995163545323,vector_extracted_from_published_figure,RAR2 Figure 3.15,1.15,,,,0.7576923076923077,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1988,351.5151515151515,201.7167381974249,10.390625,139.4077883177266,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.6615384615384615,,1.0038461538461538,,0.5807692307692308,0.9961538461538462,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1989,362.1212121212121,207.725321888412,11.71875,142.67714023280013,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.6153846153846154,,1.3461538461538465,,0.5038461538461538,1.2692307692307692,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1990,362.1212121212121,203.43347639484975,13.046875,145.64086072636235,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.6346153846153846,,1.8346153846153843,,0.5192307692307693,0.926923076923077,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1991,359.09090909090907,196.5665236051502,14.21875,148.30563548575887,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.3730769230769231,,1.3115384615384615,,0.6846153846153846,0.6269230769230769,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1992,333.3333333333333,160.51502145922746,15.3125,157.50581187410586,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.2038461538461538,,0.9807692307692308,,0.5192307692307693,0.5115384615384615,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1993,322.7272727272727,151.931330472103,16.484375,154.31156725516968,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.2423076923076923,,0.903846153846154,,0.4115384615384615,0.4038461538461538,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1994,331.8181818181818,159.656652360515,18.203125,153.9584044576668,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.2423076923076923,,1.2038461538461538,,0.45,0.7,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1995,337.8787878787879,158.79828326180257,19.53125,159.5492546169853,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.35,,1.3615384615384616,,0.35,0.6038461538461538,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1996,378.7878787878788,187.98283261802572,20.546875,170.258171169853,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.4307692307692308,,0.9653846153846154,,0.3269230769230769,0.6961538461538461,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1997,407.5757575757576,224.0343347639485,21.484375,162.05704781180907,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.45,,1.265384615384615,,0.4115384615384615,0.4038461538461538,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1998,395.45454545454544,199.1416309012876,22.5,173.81291455325788,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.4961538461538461,,1.3576923076923078,,0.473076923076923,0.4653846153846154,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
1999,398.4848484848485,191.41630901287556,23.515625,183.5529144719729,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.3615384615384615,,1.1576923076923078,,0.4038461538461538,0.3038461538461538,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2000,424.24242424242425,193.1330472103004,24.140625,206.96875203212383,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.3192307692307692,,1.2692307692307692,,0.4346153846153846,0.4115384615384615,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2001,468.1818181818182,234.33476394849785,24.140625,209.70642923332036,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.5115384615384615,,1.5423076923076924,,0.3576923076923077,0.1576923076923077,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2002,242.4242424242424,241.2017167381974,24.140625,0.0,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.5461538461538461,,1.5423076923076924,,0.3807692307692307,0.4269230769230769,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2003,227.27272727272725,233.4763948497854,20.625,0.0,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.4192307692307692,,1.2423076923076923,,0.4192307692307692,0.4423076923076923,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2004,234.84848484848484,238.62660944206007,18.359375,0.0,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.3538461538461538,,0.9730769230769232,,0.4769230769230769,0.5115384615384615,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2005,469.6969696969697,198.2832618025751,20.0,251.41370789439455,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.4576923076923077,,1.0884615384615384,,0.4307692307692308,0.5307692307692308,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2006,453.030303030303,174.2489270386266,20.0,258.78137599167644,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.4346153846153846,,0.5346153846153846,,0.3423076923076923,0.3961538461538461,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2007,410.60606060606057,139.91416309012874,16.953125,253.73877251593183,vector_extracted_from_published_figure,RAR2 Figure 3.15,0.4538461538461538,,0.6423076923076924,,0.2961538461538461,,,,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2008,337.8787878787879,92.7038626609442,12.5,232.67492521784368,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.0038461538461538,,0.9961538461538462,,,0.9961538461538462,1.0,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2009,284.8484848484848,62.66094420600858,10.703125,211.48441564247625,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.0269230769230768,,0.9961538461538462,,,0.9576923076923076,0.9944663957189483,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2010,203.03030303030303,67.81115879828326,12.890625,122.32851923201976,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.0038461538461538,,0.8961538461538462,,,0.9653846153846154,0.9553079049545375,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2011,184.84848484848484,75.53648068669527,12.890625,96.42137916178956,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.25,,0.8038461538461539,,,1.0807692307692307,1.0291973133215635,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2012,166.66666666666666,71.24463519313305,12.734375,82.68765647353361,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.2576923076923077,,0.8423076923076923,,,1.0653846153846154,1.0425027286107065,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2013,165.15151515151516,72.1030042918455,11.953125,81.09538585966966,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.1192307692307693,,0.8769230769230769,,,0.9961538461538462,0.9937928203328916,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
2014,156.06060606060606,59.2274678111588,12.03125,84.80188824944727,vector_extracted_from_published_figure,RAR2 Figure 3.15,,1.1423076923076922,,0.7884615384615384,,,0.8884615384615384,0.9295956545622974,digitised_from_published_figure,RAR2 Figure 3.17,,public_evidence_reconstruction_not_raw_dpird_data
