year,published_wcb_relative_female_spawning_biomass,published_north_relative_female_spawning_biomass,published_south_relative_female_spawning_biomass,published_north_fishing_mortality,published_south_fishing_mortality,published_north_log_recruitment_deviation,published_south_log_recruitment_deviation,evidence_class,source
1975,0.5194029850746269,0.41492537313432837,0.6567164179104478,,,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1976,0.5253731343283582,0.42388059701492536,0.6537313432835821,0.04366197183098591,0.030985915492957747,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1977,0.5223880597014925,0.42686567164179107,0.6447761194029851,0.05070422535211268,0.036619718309859155,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1978,0.5223880597014925,0.4298507462686567,0.6388059701492538,0.057746478873239436,0.04366197183098591,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1979,0.5104477611940299,0.42388059701492536,0.6208955223880597,0.07464788732394366,0.05070422535211268,,0.042432814710042434,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1980,0.49850746268656715,0.41194029850746267,0.6119402985074627,0.08309859154929577,0.05070422535211268,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1981,0.48656716417910445,0.4,0.5940298507462687,0.07746478873239436,0.05070422535211268,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1982,0.47761194029850745,0.39104477611940297,0.5850746268656717,0.07746478873239436,0.04929577464788732,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1983,0.4626865671641791,0.37910447761194027,0.5701492537313433,0.09436619718309859,0.05211267605633803,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1984,0.44776119402985076,0.3641791044776119,0.5582089552238806,0.10704225352112676,0.056338028169014086,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1985,0.43283582089552236,0.3492537313432836,0.5402985074626866,0.13732394366197184,0.07042253521126761,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1986,0.41044776119402987,0.3283582089552239,0.5164179104477612,0.16267605633802817,0.07605633802816901,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1987,0.3970149253731343,0.3164179104477612,0.5014925373134328,0.16619718309859155,0.06901408450704226,,0.0,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1988,0.3880597014925373,0.3044776119402985,0.4925373134328358,0.17816901408450705,0.0676056338028169,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1989,0.3761194029850746,0.29253731343283584,0.48208955223880595,0.18450704225352113,0.07464788732394366,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1990,0.3611940298507463,0.28059701492537314,0.46567164179104475,0.18309859154929578,0.08591549295774648,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1991,0.3492537313432836,0.2716417910447761,0.44776119402985076,0.18169014084507043,0.09436619718309859,0.14144271570014144,-0.2263083451202263,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1992,0.33432835820895523,0.2626865671641791,0.42835820895522386,0.17887323943661973,0.09014084507042254,0.4667609618104667,-0.5374823196605375,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1993,0.3253731343283582,0.2537313432835821,0.4164179104477612,0.176056338028169,0.08732394366197183,0.6082036775106082,-0.4809052333804809,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1994,0.31343283582089554,0.24477611940298508,0.4,0.17887323943661973,0.09577464788732394,0.9476661951909476,0.4809052333804809,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1995,0.30149253731343284,0.23880597014925373,0.37910447761194027,0.19154929577464788,0.1028169014084507,0.6789250353606789,0.8910891089108911,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1996,0.29253731343283584,0.23880597014925373,0.3611940298507463,0.2211267605633803,0.11690140845070422,0.396039603960396,0.792079207920792,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1997,0.2865671641791045,0.23880597014925373,0.34328358208955223,0.27535211267605636,0.13661971830985917,0.26874115983026875,0.6294200848656294,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1998,0.28059701492537314,0.23582089552238805,0.3373134328358209,0.3084507042253521,0.15,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
1999,0.27761194029850744,0.2298507462686567,0.3373134328358209,0.29577464788732394,0.18309859154929578,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2000,0.27761194029850744,0.22686567164179106,0.3402985074626866,0.2633802816901408,0.19859154929577466,0.2263083451202263,0.5657708628005658,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2001,0.2746268656716418,0.22388059701492538,0.3402985074626866,0.2774647887323944,0.2,-0.16265912305516264,0.2828854314002829,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2002,0.2656716417910448,0.21194029850746268,0.33432835820895523,0.29295774647887324,0.21690140845070421,-0.5021216407355021,-0.13437057991513437,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2003,0.2537313432835821,0.19701492537313434,0.32238805970149254,0.3112676056338028,0.223943661971831,-0.4809052333804809,-0.2263083451202263,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2004,0.2462686567164179,0.1880597014925373,0.32238805970149254,0.3591549295774648,0.2535211267605634,-0.5091937765205091,-0.7213578500707213,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2005,0.22388059701492538,0.16417910447761194,0.30149253731343284,0.38028169014084506,0.2936619718309859,-0.396039603960396,-0.9618104667609618,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2006,0.20298507462686566,0.14328358208955225,0.2746268656716418,0.38309859154929576,0.3345070422535211,-0.2263083451202263,-1.0325318246110324,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2007,0.17313432835820897,0.12238805970149254,0.23283582089552238,0.36971830985915494,0.32253521126760565,-0.26166902404526166,-0.7355021216407355,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2008,0.14626865671641792,0.10746268656716418,0.19552238805970149,0.4007042253521127,0.30140845070422534,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2009,0.1253731343283582,0.09253731343283582,0.16716417910447762,0.3591549295774648,0.28450704225352114,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2010,0.11343283582089553,0.08955223880597014,0.14328358208955225,0.2774647887323944,0.2112676056338028,-0.16973125884016974,-0.3536067892503536,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2011,0.11044776119402985,0.08955223880597014,0.1373134328358209,0.3028169014084507,0.18873239436619718,-0.24045261669024046,-0.056577086280056574,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2012,0.11044776119402985,0.08955223880597014,0.1373134328358209,0.323943661971831,0.16619718309859155,-0.6082036775106082,0.48797736916548795,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2013,0.11044776119402985,0.08955223880597014,0.14029850746268657,0.29859154929577464,0.15492957746478872,-0.8910891089108911,0.3041018387553041,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2014,0.11641791044776119,0.08955223880597014,0.14925373134328357,0.25,0.15352112676056337,-0.37482319660537483,0.099009900990099,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2015,0.11940298507462686,0.08656716417910448,0.1582089552238806,0.2549295774647887,0.17816901408450705,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2016,0.12238805970149254,0.08358208955223881,0.1701492537313433,0.23943661971830985,0.19718309859154928,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2017,0.13134328358208955,0.08358208955223881,0.191044776119403,0.23380281690140844,0.19577464788732393,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2018,0.14626865671641792,0.09253731343283582,0.21492537313432836,0.21830985915492956,0.16619718309859155,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2019,0.14925373134328357,0.0955223880597015,0.2208955223880597,0.2352112676056338,0.16619718309859155,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2020,0.15223880597014924,0.09850746268656717,0.2208955223880597,0.30704225352112674,0.2028169014084507,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2021,0.15522388059701492,0.10149253731343283,0.2208955223880597,0.34225352112676055,0.252112676056338,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2022,0.15223880597014924,0.10149253731343283,0.21492537313432836,0.30070422535211266,0.2661971830985915,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2023,0.14626865671641792,0.10149253731343283,0.20298507462686566,0.34507042253521125,0.2992957746478873,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
2024,0.14925373134328357,0.10746268656716418,0.2,0.28169014084507044,0.29859154929577464,,,digitised_central_trajectory_from_published_figure,RAR2 Figure 3.21
