year,sector,age,proportion,sample_size,evidence_class
2003,all,0,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,1,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,2,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,3,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,4,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,5,0.024793388429752067,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,6,0.08677685950413223,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,7,0.1652892561983471,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,8,0.18181818181818182,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,9,0.128099173553719,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,10,0.12396694214876033,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,11,0.0743801652892562,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,12,0.049586776859504134,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,13,0.03925619834710744,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,14,0.022727272727272728,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,15,0.022727272727272728,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,16,0.008264462809917356,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,17,0.008264462809917356,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,18,0.004132231404958678,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,19,0.010330578512396695,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,20,0.010330578512396695,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,21,0.002066115702479339,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,22,0.006198347107438017,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,23,0.004132231404958678,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,24,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,25,0.004132231404958678,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,26,0.008264462809917356,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,27,0.012396694214876033,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,28,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,29,0.0,484,synthetic_multinomial_from_conditioned_operating_truth
2003,all,30,0.002066115702479339,484,synthetic_multinomial_from_conditioned_operating_truth
2004,all,0,0.0,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,1,0.0,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,2,0.0,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,3,0.0,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,4,0.0014388489208633094,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,5,0.0057553956834532375,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,6,0.06618705035971223,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,7,0.19568345323741007,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,8,0.17553956834532375,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,9,0.1669064748201439,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,10,0.11079136690647481,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,11,0.0920863309352518,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,12,0.050359712230215826,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,13,0.025899280575539568,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,14,0.025899280575539568,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,15,0.01870503597122302,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,16,0.015827338129496403,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,17,0.0057553956834532375,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,18,0.010071942446043165,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,19,0.0057553956834532375,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,20,0.004316546762589928,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,21,0.0057553956834532375,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,22,0.004316546762589928,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,23,0.0028776978417266188,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,24,0.0014388489208633094,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,25,0.0,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,26,0.0014388489208633094,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,27,0.0014388489208633094,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,28,0.004316546762589928,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,29,0.0,695,synthetic_multinomial_from_conditioned_operating_truth
2004,all,30,0.0014388489208633094,695,synthetic_multinomial_from_conditioned_operating_truth
2005,all,0,0.0,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,1,0.0,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,2,0.0,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,3,0.0,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,4,0.001392757660167131,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,5,0.009749303621169917,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,6,0.06406685236768803,718,synthetic_multinomial_from_conditioned_operating_truth
2005,all,7,0.12534818941504178,718,synthetic_multinomial_from_conditioned_operating_truth
