year,sector,age,proportion,sample_size,evidence_class,source
2003,all,0,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,1,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,2,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,3,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,4,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,5,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,6,0.05,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,7,0.14375000000000002,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,8,0.14375000000000002,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,9,0.13125,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,10,0.20625000000000002,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,11,0.20625000000000002,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,12,0.08125,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,13,0.0375,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,14,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,15,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,16,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,17,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,18,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,19,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,20,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,21,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,22,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,23,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,24,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,25,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,26,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,27,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,28,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,29,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2003,all,30,0.0,484.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,0,0.0,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,1,0.0,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,2,0.0,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,3,0.0,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,4,0.0,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,5,0.004065908563471804,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
2004,all,6,0.03869762940505523,695.0,derived_from_digitised_area_compositions,RAR2 Figure 3.19; sample-size weighted North/South pool; ages 30+ pooled
