year,catch,catch_commercial,catch_charter,catch_recreational,index,biomass,recruitment_multiplier_absolute,captured_public_cpue_index,captured_index_north_dropline_monthly,captured_index_north_dropline_daily,captured_index_north_handline_monthly,captured_index_north_handline_daily,captured_index_south_dropline_monthly,captured_index_south_handline_monthly,captured_index_south_handline_daily,captured_index_source,dataset_status
1975,175.75757575757575,60.94420600858369,1.09375,113.71961974899206,,,3.514674617916502,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1976,210.6060606060606,100.42918454935622,1.640625,108.53625105670436,,,1.6616079031437354,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1977,227.27272727272725,96.99570815450645,2.1875,128.08951911822084,,,0.785546636298983,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1978,278.78787878787875,165.66523605150215,2.890625,110.2320177363766,,,0.37137733675503987,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1979,295.45454545454544,178.54077253218884,3.515625,113.3981479223566,,,0.5137763619763465,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1980,293.93939393939394,173.39055793991415,3.984375,116.5644609994798,,,0.7107761406016052,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1981,265.1515151515151,131.3304721030043,4.21875,129.60229304851083,,,0.9833125060583685,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1982,293.93939393939394,161.3733905579399,4.765625,127.80037838145404,,,0.8753017454523959,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1983,312.1212121212121,177.6824034334764,4.921875,129.51693368773573,,,0.7791552948544853,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1984,342.42424242424244,193.1330472103004,5.703125,143.58807021394202,,,0.6935699336301582,,,,,,,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1985,413.6363636363636,278.96995708154503,7.265625,127.4007815548186,,,0.7737878289233442,,1.0038461538461538,,,,0.9961538461538462,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1986,377.27272727272725,225.75107296137332,8.203125,143.31852931135387,,,0.8632836793487374,,0.8769230769230769,,,,0.9076923076923076,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1987,353.030303030303,203.43347639484972,9.296875,140.29995163545323,,,0.963130567802874,,1.15,,,,0.7576923076923077,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1988,351.5151515151515,201.7167381974249,10.390625,139.4077883177266,,,0.9863222579992557,,0.6615384615384615,,1.0038461538461538,,0.5807692307692308,0.9961538461538462,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1989,362.1212121212121,207.725321888412,11.71875,142.67714023280013,,,1.010072392203278,,0.6153846153846154,,1.3461538461538465,,0.5038461538461538,1.2692307692307692,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1990,362.1212121212121,203.43347639484972,13.046875,145.64086072636235,,,1.0343944174602844,,0.6346153846153846,,1.8346153846153843,,0.5192307692307693,0.926923076923077,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1991,359.09090909090907,196.5665236051502,14.21875,148.30563548575887,,,1.116682151879741,,0.3730769230769231,,1.3115384615384615,,0.6846153846153846,0.6269230769230769,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1992,333.3333333333333,160.51502145922746,15.3125,157.50581187410586,,,1.2055160075094338,,0.2038461538461538,,0.9807692307692308,,0.5192307692307693,0.5115384615384615,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1993,322.7272727272727,151.931330472103,16.484375,154.31156725516968,,,1.301416738787451,,0.2423076923076923,,0.903846153846154,,0.4115384615384615,0.4038461538461538,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1994,331.8181818181818,159.656652360515,18.203125,153.9584044576668,,,1.2345858654485584,,0.2423076923076923,,1.2038461538461538,,0.45,0.7,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
