year,digitised_dpird_relative_spawning_biomass,synthetic_operating_truth_depletion,synthetic_spawning_biomass_t,synthetic_total_biomass_t,synthetic_survey_biomass_t,synthetic_fishing_mortality,synthetic_log_recruitment_deviation,captured_north_relative_spawning_biomass,captured_south_relative_spawning_biomass,captured_north_log_recruitment_deviation,captured_south_log_recruitment_deviation,truth_status
1975,0.5194029850746269,0.5194029850746268,2679.3894884285837,5510.633003576142,5325.964147091648,0.037377505006105594,1.2569469513950124,0.4149253731343283,0.6567164179104478,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1976,0.5253731343283582,0.5017711739573594,2588.434120964192,5327.7488807103155,5144.588989206206,0.04663164411394405,0.5077857499139858,0.4238805970149253,0.6537313432835821,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1977,0.5223880597014925,0.4813636602451365,2483.1600287915494,5131.148442237885,4934.769240043961,0.05272250784329913,-0.24137545156704077,0.426865671641791,0.6447761194029851,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1978,0.5223880597014925,0.4613480078353657,2379.9073902587256,4994.0979299258015,4729.703929728729,0.06834654218656055,-0.9905366530480675,0.4298507462686567,0.6388059701492538,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1979,0.5104477611940299,0.4421129960135057,2280.681760128998,4902.513784965133,4529.266866957181,0.07727234452605103,-0.6659672016388156,0.4238805970149253,0.6208955223880597,,0.0424328147100424,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1980,0.4985074626865671,0.4329985667160618,2233.664113418539,4874.276576687795,4419.707380114417,0.08222489132495525,-0.34139775022956365,0.4119402985074626,0.6119402985074627,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1981,0.4865671641791044,0.43666621847623405,2252.584042367369,4886.620773108259,4433.420192193605,0.07805172001357619,-0.016828298820311734,0.4,0.5940298507462687,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1982,0.4776119402985074,0.44861048713930973,2314.1996834446218,4929.769916312582,4544.771458802545,0.08549912331628207,-0.1331866001266927,0.3910447761194029,0.5850746268656717,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1983,0.4626865671641791,0.4547641407060042,2345.9438881485344,4920.973448335363,4615.985775694603,0.08519193678850456,-0.24954490143307365,0.3791044776119402,0.5701492537313433,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1984,0.4477611940298507,0.4533102808195247,2338.444014236717,4873.526748996832,4617.549973212992,0.08949091682714538,-0.3659032027394546,0.3641791044776119,0.5582089552238806,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1985,0.4328358208955223,0.4438729990330735,2289.760902386055,4775.6798847347545,4533.642751999211,0.10900067872196928,-0.2564575658089993,0.3492537313432836,0.5402985074626866,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1986,0.4104477611940298,0.424458716009246,2189.610484783147,4583.488161588039,4339.209988119338,0.10396223804147553,-0.147011928878544,0.3283582089552239,0.5164179104477612,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1987,0.3970149253731343,0.407928155841117,2104.3360246335633,4415.153883124198,4168.510189204675,0.10238809843329477,-0.03756629194808869,0.3164179104477612,0.5014925373134328,,0.0,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1988,0.3880597014925373,0.3933926248798391,2029.3531115862297,4261.423977638129,4017.2667959747464,0.10688648019672087,-0.013772144107346423,0.3044776119402985,0.4925373134328358,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1989,0.3761194029850746,0.37834570609623003,1951.7321560265534,4104.100701219195,3862.2532173034406,0.11514002466870465,0.010022003733395846,0.2925373134328358,0.4820895522388059,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1990,0.3611940298507463,0.3617699440518892,1866.2245177176997,3937.8447090155823,3692.4836985440843,0.12081561520463424,0.03381615157413812,0.2805970149253731,0.4656716417910447,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1991,0.3492537313432836,0.3455328112699739,1782.4637305288616,3780.7346209653947,3525.484090610338,0.12644939671926636,0.11036192442770634,0.2716417910447761,0.4477611940298507,0.1414427157001414,-0.2263083451202263,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1992,0.3343283582089552,0.33077926773468797,1706.3561789716848,3640.083772460944,3372.2833021642687,0.12387231489518058,0.18690769728127454,0.2626865671641791,0.4283582089552238,0.4667609618104667,-0.5374823196605375,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1993,0.3253731343283582,0.3204055697336076,1652.8424753948102,3543.0798671746998,3263.132759770832,0.1255483066123304,0.26345347013484277,0.2537313432835821,0.4164179104477612,0.6082036775106082,-0.4809052333804809,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1994,0.3134328358208955,0.31295957758625265,1614.4316197319802,3475.098238814192,3184.1190892608233,0.134176465035722,0.21073558222311997,0.244776119402985,0.4,0.9476661951909476,0.4809052333804809,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1995,0.3014925373134328,0.3063185438533228,1580.1732182833337,3416.381288017358,3113.9471234123516,0.1412914122762743,0.15801769431139717,0.2388059701492537,0.3791044776119402,0.6789250353606789,0.8910891089108911,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1996,0.2925373134328358,0.30084990708228887,1551.9627375941686,3371.865398244646,3056.1036866459644,0.16434616293710747,0.10529980639967436,0.2388059701492537,0.3611940298507463,0.396039603960396,0.792079207920792,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1997,0.2865671641791045,0.29291399909714866,1511.0246046847747,3300.292700893863,2972.7621508593697,0.18546824919573623,-0.22849058979467235,0.2388059701492537,0.3432835820895522,0.2687411598302687,0.6294200848656294,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1998,0.2805970149253731,0.2836716606027707,1463.3471262683247,3209.1479613264046,2875.628150692083,0.18871419236879206,-0.562280985989019,0.235820895522388,0.3373134328358209,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
1999,0.2776119402985074,0.2770567614335408,1429.2235424415912,3136.5179351960855,2805.6314965758706,0.19764955048012212,-0.8960713821833658,0.2298507462686567,0.3373134328358209,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2000,0.2776119402985074,0.27052685673319826,1395.5384106319918,3052.6479943513473,2737.6945542390904,0.2183230408365091,-0.6601749695183711,0.226865671641791,0.3402985074626866,0.2263083451202263,0.5657708628005658,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2001,0.2746268656716418,0.26024077064477336,1342.4766614038135,2915.956425355778,2632.947895652443,0.2535275705150184,-0.4242785568533763,0.2238805970149253,0.3402985074626866,-0.1626591230551626,0.2828854314002829,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2002,0.2656716417910448,0.24241157591547216,1250.5030718835833,2691.665690557215,2453.1537209365006,0.14582612078712032,-0.18838214418838148,0.2119402985074626,0.3343283582089552,-0.5021216407355021,-0.1343705799151343,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2003,0.2537313432835821,0.2431247571820422,1254.1820849888265,2666.334975838181,2465.000431839594,0.13466344874549918,-0.36872213152351624,0.1970149253731343,0.3223880597014925,-0.4809052333804809,-0.2263083451202263,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2004,0.2462686567164179,0.24126824937478988,1244.6051136450387,2627.9911165974877,2452.4532900303784,0.13287647807530334,-0.549062118858651,0.1880597014925373,0.3223880597014925,-0.5091937765205091,-0.7213578500707213,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2005,0.2238805970149253,0.23571890980641289,1215.9783199328429,2568.738065435245,2401.492553662216,0.25743623843362684,-0.7294021061937858,0.1641791044776119,0.3014925373134328,-0.396039603960396,-0.9618104667609618,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2006,0.2029850746268656,0.20516690993953968,1058.3729352005814,2258.1063220444557,2091.2173297406616,0.29111603805228015,-0.447504413194169,0.1432835820895522,0.2746268656716418,-0.2263083451202263,-1.0325318246110324,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2007,0.1731343283582089,0.17523493289805767,903.9659969321968,1951.6271078964062,1783.339717430518,0.3220111142071005,-0.16560672019455225,0.1223880597014925,0.2328358208955223,-0.2616690240452616,-0.7355021216407355,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2008,0.1462686567164179,0.14927528763125908,770.0507083221374,1677.7191213536962,1514.7413331339903,0.3231500496434023,0.11629097280506448,0.1074626865671641,0.1955223880597014,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2009,0.1253731343283582,0.1303195442261047,672.2657107680269,1473.6695211613269,1319.2378610467456,0.31926292732288175,0.09276598321554466,0.0925373134328358,0.1671641791044776,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2010,0.1134328358208955,0.1162053777657532,599.4564464039348,1326.9784421122815,1175.256523314103,0.24924680442623526,0.06924099362602484,0.0895522388059701,0.1432835820895522,-0.1697312588401697,-0.3536067892503536,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2011,0.1104477611940298,0.11090574588601651,572.1177934520899,1284.4894968589988,1121.709089734335,0.2369060460116259,0.04571600403650503,0.0895522388059701,0.1373134328358209,-0.2404526166902404,-0.0565770862800565,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
