year,sector,age,proportion,sample_size
2000,all,2,0.08,120
2000,all,3,0.14,120
2000,all,4,0.19,120
2000,all,5,0.20,120
2000,all,6,0.16,120
2000,all,7,0.11,120
2000,all,8,0.07,120
2000,all,9,0.05,120
2003,all,2,0.10,140
2003,all,3,0.16,140
2003,all,4,0.20,140
2003,all,5,0.19,140
2003,all,6,0.14,140
2003,all,7,0.10,140
2003,all,8,0.07,140
2003,all,9,0.04,140
2006,all,2,0.13,150
2006,all,3,0.19,150
2006,all,4,0.21,150
2006,all,5,0.17,150
2006,all,6,0.12,150
2006,all,7,0.08,150
2006,all,8,0.06,150
2006,all,9,0.04,150
2009,all,2,0.11,130
2009,all,3,0.18,130
2009,all,4,0.21,130
2009,all,5,0.18,130
2009,all,6,0.13,130
2009,all,7,0.09,130
2009,all,8,0.06,130
2009,all,9,0.04,130
