year,sector,length_mm,proportion,sample_size
2000,all,350,0.06,120
2000,all,400,0.12,120
2000,all,450,0.18,120
2000,all,500,0.22,120
2000,all,550,0.20,120
2000,all,600,0.13,120
2000,all,650,0.06,120
2000,all,700,0.03,120
2005,all,350,0.08,140
2005,all,400,0.15,140
2005,all,450,0.20,140
2005,all,500,0.21,140
2005,all,550,0.17,140
2005,all,600,0.11,140
2005,all,650,0.05,140
2005,all,700,0.03,140
2009,all,350,0.10,130
2009,all,400,0.17,130
2009,all,450,0.22,130
2009,all,500,0.20,130
2009,all,550,0.15,130
2009,all,600,0.09,130
2009,all,650,0.05,130
2009,all,700,0.02,130
